Ano;Mes;Codigo distrito;Codigo zona;Nit cliente;Codigo tipo;Codigo linea;Codigo grupo;Codigo calidad;Gerente;Línea CAM;Ventas;Codigo distrito-zona;Anomaly;Anomaly_Score
2022;12;90;97;901667148;235;103;267;183;Elementos de Protección Personal;Tapabocas otros proveedores;2112616.8000;90-97;1;0,04326028345608274
2022;11;10;18;900178315;201;20;1;60;Resmilla;Resmilla - Reprograf;140006400.0000;10-18;1;0,0985605397669837
